2026-08-07 00:33:18 | INFO     | jarvis.voz           | TTS: No encontré una definición para 'zampoña'. Puede que sea un término muy especializado o un nombre propio.
2026-08-07 00:33:37 | INFO     | jarvis.voz           | TTS: Sistema interrumpido. Hasta luego.
2026-08-07 00:33:40 | INFO     | jarvis.main          | Jarvis detenido por KeyboardInterrupt.
2026-08-07 00:49:06 | INFO     | jarvis.main          | ==================================================
2026-08-07 00:49:06 | INFO     | jarvis.main          | Jarvis iniciando...
2026-08-07 00:49:06 | INFO     | jarvis.cerebro       | Inicializando cerebro de Jarvis...
2026-08-07 00:49:06 | INFO     | jarvis.plugins       | Plugins cargados: 0 nuevos (9 total).
2026-08-07 00:49:06 | INFO     | jarvis.cerebro       | Plugins cargados: 9 (44 intenciones).
2026-08-07 00:49:06 | INFO     | jarvis.voz           | TTS: Jarvis al servicio. ¿Qué necesitas?
2026-08-07 00:49:09 | INFO     | jarvis.main          | Jarvis activo. Esperando wake word.
2026-08-07 00:49:09 | INFO     | jarvis.escucha       | Recalibrando ruido ambiental.
2026-08-07 00:49:10 | INFO     | jarvis.escucha       | Calibración completada.
2026-08-07 00:49:17 | INFO     | jarvis.escucha       | Texto reconocido: 'abrir integrador'
2026-08-07 00:49:17 | INFO     | jarvis.main          | Usuario dijo: 'abrir integrador'
2026-08-07 00:49:17 | INFO     | jarvis.cerebro       | Procesando: 'abrir integrador' (estado=REPOSO)
2026-08-07 00:49:20 | INFO     | jarvis.escucha       | Texto reconocido: 'jarvis'
2026-08-07 00:49:20 | INFO     | jarvis.main          | Usuario dijo: 'jarvis'
2026-08-07 00:49:20 | INFO     | jarvis.cerebro       | Procesando: 'jarvis' (estado=REPOSO)
2026-08-07 00:49:20 | INFO     | jarvis.cerebro       | Sesión activada.
2026-08-07 00:49:20 | INFO     | jarvis.voz           | TTS: A tus órdenes.
2026-08-07 00:49:25 | INFO     | jarvis.escucha       | Texto reconocido: 'abre integra'
2026-08-07 00:49:25 | INFO     | jarvis.main          | Usuario dijo: 'abre integra'
2026-08-07 00:49:25 | INFO     | jarvis.cerebro       | Procesando: 'abre integra' (estado=ESCUCHANDO)
2026-08-07 00:49:25 | INFO     | jarvis.nlp           | NLP: 'abre integra' → intent=ABRIR_APP (100%) ent={'app': 'integra'}
2026-08-07 00:49:25 | INFO     | jarvis.apps          | Índice cargado: 44 apps (0.4h de antigüedad).
2026-08-07 00:49:25 | INFO     | jarvis.apps          | App no encontrada: 'integra'
2026-08-07 00:49:25 | INFO     | jarvis.voz           | TTS: No encontré ninguna aplicación llamada 'integra'. ¿Puedes intentarlo con otro nombre?
2026-08-07 00:49:33 | INFO     | jarvis.escucha       | Texto reconocido: 'abrir integrador'
2026-08-07 00:49:33 | INFO     | jarvis.main          | Usuario dijo: 'abrir integrador'
2026-08-07 00:49:33 | INFO     | jarvis.cerebro       | Procesando: 'abrir integrador' (estado=ESCUCHANDO)
2026-08-07 00:49:33 | INFO     | jarvis.nlp           | NLP: 'abrir integrador' → intent=ABRIR_APP (100%) ent={'app': 'integrador'}
2026-08-07 00:49:33 | INFO     | jarvis.apps          | App encontrada (fuzzy): 'integrador' → 'Google Chrome' (score=74)
2026-08-07 00:49:33 | INFO     | jarvis.apps          | App lanzada: 'Google Chrome' → ['/usr/bin/google-chrome-stable']
2026-08-07 00:49:33 | INFO     | jarvis.voz           | TTS: Aquí vamos Google Chrome.
2026-08-07 00:49:51 | INFO     | jarvis.escucha       | Texto reconocido: 'abrir integrador'
2026-08-07 00:49:51 | INFO     | jarvis.main          | Usuario dijo: 'abrir integrador'
2026-08-07 00:49:51 | INFO     | jarvis.cerebro       | Procesando: 'abrir integrador' (estado=ESCUCHANDO)
2026-08-07 00:49:51 | INFO     | jarvis.nlp           | NLP: 'abrir integrador' → intent=ABRIR_APP (100%) ent={'app': 'integrador'}
2026-08-07 00:49:51 | INFO     | jarvis.apps          | App encontrada (fuzzy): 'integrador' → 'Google Chrome' (score=74)
2026-08-07 00:49:51 | INFO     | jarvis.apps          | App lanzada: 'Google Chrome' → ['/usr/bin/google-chrome-stable']
2026-08-07 00:49:51 | INFO     | jarvis.voz           | TTS: En un momento Google Chrome.
2026-08-07 00:50:09 | INFO     | jarvis.voz           | TTS: Sistema interrumpido. Hasta luego.
2026-08-07 02:42:57 | INFO     | jarvis.main          | ==================================================
2026-08-07 02:42:57 | INFO     | jarvis.main          | Jarvis GTK iniciando...
2026-08-07 02:42:57 | INFO     | jarvis.single_instance | SingleInstance: lock adquirido. Socket: /home/victor/.jarvis_single_instance.sock
2026-08-07 02:42:57 | INFO     | jarvis.memoria       | Base de datos inicializada: /home/victor/mi_jarvis/datos/jarvis.db
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'aplicaciones' (1 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'ventanas' (7 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'linux' (14 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'web' (2 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'archivos' (8 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'calculadora' (1 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'datetime' (5 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'definiciones' (1 intenciones).
2026-08-07 02:42:57 | WARNING  | jarvis.plugins       | Intención 'CAMBIAR_VENTANA' ya registrada por 'ventanas'. Será reemplazada por 'desarrollo'.
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'desarrollo' (11 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugin registrado: 'ayuda' (1 intenciones).
2026-08-07 02:42:57 | INFO     | jarvis.cerebro       | Inicializando cerebro de Jarvis...
2026-08-07 02:42:57 | INFO     | jarvis.plugins       | Plugins cargados: 0 nuevos (10 total).
2026-08-07 02:42:57 | INFO     | jarvis.macros.gestor | Macro registrada correctamente: ABRIR_INTEGRADOR
